#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1173	2.86004	-0.26117	10.04945
1174	2.85715	-0.25554	9.82218
1175	2.86037	-0.24686	9.44554
1176	2.85864	-0.26617	10.26719
1177	2.85514	-0.24895	9.55225
1178	2.84794	-0.24084	9.23768
1179	2.93242	-0.33538	12.91411
1180	2.85782	-0.25987	10.00293
1181	2.85185	-0.26030	10.04426
1182	2.85367	-0.25846	9.95905
1183	2.85676	0.20516	6.70045
1184	2.85588	-0.25518	9.81208
1185	2.85461	-0.24934	9.57048
1186	2.85776	-0.25798	9.92309
1187	2.85735	-0.26031	10.02335
1188	2.85643	-0.26397	10.18205
1189	2.85929	-0.25219	9.67300
1190	2.85965	-0.24797	9.49448
1191	2.85722	-0.26018	10.01839
1192	2.85910	-0.24650	9.43511
1193	2.87015	-0.26305	10.08960
1194	2.90538	-0.30560	11.75475
1195	2.85195	-0.24301	9.31456
1196	2.85601	-0.24799	9.50877
1197	2.85695	-0.25534	9.81468
1198	2.85435	-0.25731	9.90781
1199	2.85595	-0.25159	9.66037
1200	2.85673	-0.26793	10.34961
1201	2.85877	-0.25716	9.88459
1202	2.85851	-0.26147	10.06796
1203	2.85633	-0.25289	9.71367
1204	2.85735	-0.27587	10.68632
1205	2.85763	-0.25144	9.64765
1206	2.85517	-0.24715	9.47642
1207	2.92308	-0.32146	12.35632
1208	2.85774	-0.25155	9.65216
1209	2.85396	-0.24319	9.31499
1210	2.85990	-0.25462	9.77344
1211	2.85754	-0.24952	9.56748
1212	2.85802	0.21580	7.02044
1213	2.85897	-0.25919	9.96962
1214	2.85514	-0.26176	10.09338
1215	2.85783	-0.27360	10.58741
1216	2.85949	-0.26336	10.14451
1217	2.85630	-0.24920	9.55831
1218	2.85943	-0.25415	9.75531
1219	2.85474	-0.26320	10.15590
1220	2.85734	-0.26580	10.25630
1221	2.84391	-0.23864	9.15972
1222	2.93662	-0.32585	12.48104
1223	2.85883	-0.25539	9.80965
1224	2.86063	-0.24163	9.22600
1225	2.85715	-0.26286	10.13218
1226	2.85656	-0.25220	9.68377
1227	2.85536	-0.24185	9.25367
1228	2.85708	-0.25730	9.89694
1229	2.85936	-0.25134	9.63722
1230	2.85641	-0.24473	9.37047
1231	2.85562	-0.25492	9.80202
1232	2.85844	-0.25683	9.87190
1233	2.85628	-0.25649	9.86591
1234	2.85763	-0.25419	9.76343
1235	2.86096	-0.26484	10.20118
1236	2.85831	-0.27408	10.60587
1237	2.92523	-0.32637	12.55797
1238	2.85680	-0.25885	9.96362
1239	2.85743	-0.24484	9.37149
1240	2.85393	-0.25415	9.77582
1241	2.85588	0.22983	7.44829
1242	2.85663	-0.26233	10.11192
1243	2.85494	-0.24326	9.31430
1244	2.85722	-0.25377	9.74761
1245	2.85500	-0.25888	9.97175
1246	2.85328	-0.24984	9.59635
1247	2.85984	-0.26097	10.04185
1248	2.85621	-0.24911	9.55501
1249	2.85675	-0.27161	10.50653
1250	2.85956	-0.24971	9.56790
1251	2.90548	-0.30753	11.83720
1252	2.87702	-0.28364	10.93723
1253	2.85925	-0.25306	9.71003
1254	2.85352	-0.24641	9.45152
1255	2.85461	-0.26398	10.18976
1256	2.85637	-0.16232	6.02533
1257	2.85667	-0.25780	9.91962
1258	2.85851	-0.25323	9.72007
1259	2.85374	-0.24846	9.53697
1260	2.85293	-0.24857	9.54441
1261	2.85406	-0.26617	10.28536
1262	2.85711	-0.25275	9.70493
1263	2.85822	-0.25478	9.78609
1264	2.85943	-0.25782	9.90981
1265	2.85502	-0.25249	9.70188
1266	2.92642	-0.32389	12.44527
1267	2.85863	-0.26434	10.18924
1268	2.85861	-0.24510	9.37809
1269	2.85482	-0.24954	9.57841
1270	2.85685	-0.13536	4.97367
1271	2.85923	-0.26494	10.21248
1272	2.85734	-0.25115	9.63670
1273	2.85909	-0.26296	10.12907
1274	2.85668	-0.25507	9.80414
1275	2.85582	-0.25786	9.92565
1276	2.85601	-0.23518	8.97352
1277	2.85783	-0.25347	9.73252
1278	2.85481	-0.25228	9.69381
1279	2.85842	-0.24033	9.17971
1280	2.84654	-0.24859	9.56858
1281	2.93518	-0.33540	12.90096
1282	2.85842	-0.25864	9.94850
1283	2.85796	-0.27099	10.47510
1284	2.85575	-0.26878	10.38962
1285	2.85393	0.22080	7.18108
1286	2.85387	-0.25134	9.65763
1287	2.85776	-0.24334	9.30747
1288	2.85575	-0.25780	9.92301
1289	2.85721	-0.25102	9.63176
1290	2.85860	-0.26156	10.07160
1291	2.85924	-0.26495	10.21264
1292	2.85880	-0.25536	9.80842
1293	2.85902	-0.26656	10.28209
1294	2.85541	-0.25746	9.90998
1295	2.87922	-0.28035	10.78736
1296	2.87426	-0.26898	10.32454
1297	2.85816	-0.25288	9.70657
1298	2.85623	-0.24729	9.47874
1299	2.85475	-0.25588	9.84583
1300	2.85728	-0.25749	9.90445
1301	2.85721	-0.26841	10.36817
1302	2.85435	-0.25548	9.83057
1303	2.85803	-0.27014	10.43877
1304	2.85627	-0.25557	9.82702
1305	2.85399	-0.25695	9.89387
1306	2.85712	-0.25733	9.89820
1307	2.85620	-0.26007	10.01778
1308	2.85734	-0.24932	9.55960
1309	2.85350	-0.26378	10.18570
1310	2.86921	-0.26028	9.97644
1311	2.85310	-0.26064	10.05369
1312	2.85377	-0.26496	10.23501
1313	2.85367	-0.26029	10.03682
1314	2.85702	-0.25907	9.97210
1315	2.85651	-0.24758	9.48952
1316	2.85502	-0.26347	10.16667
1317	2.85595	-0.24793	9.50656
1318	2.85681	-0.27442	10.62639
1319	2.85461	-0.26398	10.18961
1320	2.85488	-0.25875	9.96690
1321	2.85688	-0.26625	10.27744
